i: 42000000 	 x: 0.420000 	 y: 1.682416 	 
i: 43000000 	 x: 0.430000 	 y: 1.624078 	 
i: 43000000 	 x: 0.430000 	 y: 1.703632 	 
i: 44000000 	 x: 0.440000 	 y: 1.642753 	 
i: 43000000 	 x: 0.430000 	 y: 1.734537 	 
i: 44000000 	 x: 0.440000 	 y: 1.673386 	 
i: 44000000 	 x: 0.440000 	 y: 1.723991 	 
i: 45000000 	 x: 0.450000 	 y: 1.721501 	 
i: 44000000 	 x: 0.440000 	 y: 1.743469 	 
i: 45000000 	 x: 0.450000 	 y: 1.734133 	 
i: 45000000 	 x: 0.450000 	 y: 1.812212 	 
i: 46000000 	 x: 0.460000 	 y: 1.773034 	 
i: 45000000 	 x: 0.450000 	 y: 1.764300 	 
i: 46000000 	 x: 0.460000 	 y: 1.810685 	 
i: 46000000 	 x: 0.460000 	 y: 1.815433 	 
i: 47000000 	 x: 0.470000 	 y: 1.822436 	 
i: 46000000 	 x: 0.460000 	 y: 1.889706 	 
i: 47000000 	 x: 0.470000 	 y: 1.860807 	 
i: 48000000 	 x: 0.480000 	 y: 1.843050 	 
i: 47000000 	 x: 0.470000 	 y: 1.843470 	 
i: 47000000 	 x: 0.470000 	 y: 1.866833 	 
i: 48000000 	 x: 0.480000 	 y: 1.965484 	 
i: 49000000 	 x: 0.490000 	 y: 1.923234 	 
i: 48000000 	 x: 0.480000 	 y: 1.924276 	 
i: 48000000 	 x: 0.480000 	 y: 1.941323 	 
i: 49000000 	 x: 0.490000 	 y: 1.962419 	 
i: 50000000 	 x: 0.500000 	 y: 1.942929 	 
i: 49000000 	 x: 0.490000 	 y: 1.946930 	 
i: 49000000 	 x: 0.490000 	 y: 1.970339 	 
i: 50000000 	 x: 0.500000 	 y: 1.990043 	 
i: 51000000 	 x: 0.510000 	 y: 2.025421 	 
i: 50000000 	 x: 0.500000 	 y: 2.080800 	 
i: 50000000 	 x: 0.500000 	 y: 2.046459 	 
i: 51000000 	 x: 0.510000 	 y: 2.065107 	 
i: 52000000 	 x: 0.520000 	 y: 2.043280 	 
i: 51000000 	 x: 0.510000 	 y: 2.134364 	 
i: 51000000 	 x: 0.510000 	 y: 2.074617 	 
i: 52000000 	 x: 0.520000 	 y: 2.126979 	 
i: 53000000 	 x: 0.530000 	 y: 2.093835 	 
i: 52000000 	 x: 0.520000 	 y: 2.187943 	 
i: 52000000 	 x: 0.520000 	 y: 2.161058 	 
i: 54000000 	 x: 0.540000 	 y: 2.178967 	 
i: 53000000 	 x: 0.530000 	 y: 2.179453 	 
i: 53000000 	 x: 0.530000 	 y: 2.187896 	 
i: 53000000 	 x: 0.530000 	 y: 2.205071 	 
i: 55000000 	 x: 0.550000 	 y: 2.195356 	 
i: 54000000 	 x: 0.540000 	 y: 2.286562 	 
i: 54000000 	 x: 0.540000 	 y: 2.240802 	 
i: 54000000 	 x: 0.540000 	 y: 2.267417 	 
i: 56000000 	 x: 0.560000 	 y: 2.246203 	 
i: 55000000 	 x: 0.550000 	 y: 2.248917 	 
i: 55000000 	 x: 0.550000 	 y: 2.284624 	 
i: 55000000 	 x: 0.550000 	 y: 2.377015 	 
i: 57000000 	 x: 0.570000 	 y: 2.297087 	 
i: 56000000 	 x: 0.560000 	 y: 2.328794 	 
